,Player,MP,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GameDay
0,Giannis Antetokounmpo,30:57,12.0,25.0,0.48,1.0,4.0,0.25,7.0,9.0,0.778,5.0,9.0,14.0,7.0,1.0,2.0,4.0,4.0,32.0,25.0,2021-10-19
1,Khris Middleton,30:57,8.0,17.0,0.471,1.0,4.0,0.25,3.0,4.0,0.75,0.0,9.0,9.0,3.0,1.0,0.0,1.0,3.0,20.0,20.0,2021-10-19
2,Brook Lopez,28:10,3.0,9.0,0.333,2.0,4.0,0.5,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,3.0,0.0,3.0,8.0,0.0,2021-10-19
3,Grayson Allen,27:43,3.0,10.0,0.3,3.0,10.0,0.3,1.0,1.0,1.0,0.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,10.0,23.0,2021-10-19
4,Jrue Holiday,17:43,5.0,7.0,0.714,2.0,4.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,17.0,2021-10-19
6,Pat Connaughton,29:58,8.0,13.0,0.615,4.0,9.0,0.444,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,20.0,0.0,2021-10-19
7,Jordan Nwora,26:28,6.0,13.0,0.462,3.0,6.0,0.5,0.0,0.0,,0.0,6.0,6.0,1.0,1.0,1.0,1.0,3.0,15.0,6.0,2021-10-19
8,George Hill,23:21,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,3.0,0.0,1.0,1.0,5.0,1.0,-6.0,2021-10-19
9,Thanasis Antetokounmpo,12:24,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,6.0,8.0,2021-10-19
10,Sandro Mamukelashvili,7:02,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2021-10-19
11,Justin Robinson,4:01,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2021-10-19
12,Georgios Kalaitzakis,1:16,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2021-10-19
0,Joe Harris,30:46,3.0,9.0,0.333,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,0.0,2021-10-19
1,James Harden,30:38,6.0,16.0,0.375,4.0,8.0,0.5,4.0,4.0,1.0,3.0,5.0,8.0,8.0,1.0,2.0,4.0,3.0,20.0,-20.0,2021-10-19
2,Kevin Durant,30:15,13.0,25.0,0.52,3.0,7.0,0.429,3.0,6.0,0.5,0.0,11.0,11.0,4.0,0.0,2.0,1.0,2.0,32.0,-20.0,2021-10-19
3,Nicolas Claxton,24:10,6.0,9.0,0.667,0.0,0.0,,0.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,12.0,-15.0,2021-10-19
4,Blake Griffin,22:59,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,6.0,-6.0,2021-10-19
6,Patty Mills,29:22,7.0,11.0,0.636,7.0,7.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,21.0,7.0,2021-10-19
7,James Johnson,20:43,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,-6.0,2021-10-19
8,Jevon Carter,18:57,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-29.0,2021-10-19
9,LaMarcus Aldridge,15:42,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,0.25,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2021-10-19
10,Paul Millsap,5:13,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,2021-10-19
11,Cameron Thomas,3:45,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-9.0,2021-10-19
12,Bruce Brown,3:45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.0,2021-10-19
13,DeAndre' Bembry,3:45,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,2021-10-19
14,Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-19
15,David Duke,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-19
0,Anthony Davis,38:55,15.0,26.0,0.577,1.0,5.0,0.2,2.0,7.0,0.286,2.0,9.0,11.0,2.0,1.0,2.0,0.0,0.0,33.0,-2.0,2021-10-19
1,LeBron James,36:44,13.0,23.0,0.565,5.0,11.0,0.455,3.0,6.0,0.5,1.0,10.0,11.0,5.0,1.0,1.0,4.0,5.0,34.0,-2.0,2021-10-19
2,Russell Westbrook,35:08,4.0,13.0,0.308,0.0,4.0,0.0,0.0,0.0,,1.0,4.0,5.0,4.0,0.0,0.0,4.0,4.0,8.0,-23.0,2021-10-19
3,Kent Bazemore,30:37,3.0,9.0,0.333,2.0,8.0,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,8.0,10.0,2021-10-19
4,DeAndre Jordan,12:55,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,2021-10-19
6,Carmelo Anthony,26:04,3.0,9.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,9.0,-5.0,2021-10-19
7,Rajon Rondo,19:49,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,5.0,2.0,0.0,3.0,2.0,3.0,1.0,2021-10-19
8,Malik Monk,18:44,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,6.0,-10.0,2021-10-19
9,Dwight Howard,12:49,1.0,2.0,0.5,0.0,0.0,,3.0,4.0,0.75,0.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,-7.0,2021-10-19
10,Avery Bradley,8:14,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,1.0,2021-10-19
11,Sekou Doumbouya,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-19
12,Austin Reaves,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-19
0,Stephen Curry,36:11,5.0,21.0,0.238,2.0,8.0,0.25,9.0,9.0,1.0,1.0,9.0,10.0,10.0,3.0,0.0,4.0,1.0,21.0,4.0,2021-10-19
1,Draymond Green,29:56,2.0,5.0,0.4,0.0,0.0,,2.0,4.0,0.5,3.0,5.0,8.0,6.0,1.0,0.0,5.0,3.0,6.0,-2.0,2021-10-19
2,Andrew Wiggins,25:44,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,6.0,7.0,1.0,1.0,0.0,2.0,3.0,12.0,-5.0,2021-10-19
3,Jordan Poole,25:04,8.0,18.0,0.444,4.0,11.0,0.364,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,20.0,2.0,2021-10-19
4,Kevon Looney,15:28,3.0,5.0,0.6,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,7.0,-8.0,2021-10-19
6,Damion Lee,29:03,4.0,10.0,0.4,1.0,5.0,0.2,6.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,15.0,9.0,2021-10-19
7,Nemanja Bjelica,25:55,6.0,7.0,0.857,1.0,1.0,1.0,2.0,2.0,1.0,2.0,9.0,11.0,4.0,1.0,0.0,1.0,2.0,15.0,20.0,2021-10-19
8,Andre Iguodala,22:58,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,12.0,8.0,2021-10-19
9,Juan Toscano-Anderson,12:23,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,2021-10-19
10,Otto Porter,11:35,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,2021-10-19
11,Moses Moody,5:34,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,2021-10-19
12,Gary Payton,0:07,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-19
0,Gordon Hayward,35:15,10.0,22.0,0.455,2.0,4.0,0.5,5.0,8.0,0.625,0.0,5.0,5.0,3.0,1.0,0.0,3.0,3.0,27.0,12.0,2021-10-20
1,Kelly Oubre,34:58,5.0,17.0,0.294,2.0,9.0,0.222,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,14.0,1.0,2021-10-20
2,Miles Bridges,32:57,4.0,8.0,0.5,1.0,4.0,0.25,4.0,4.0,1.0,1.0,7.0,8.0,4.0,3.0,1.0,3.0,4.0,13.0,15.0,2021-10-20
3,Mason Plumlee,32:27,4.0,10.0,0.4,0.0,0.0,,0.0,3.0,0.0,4.0,6.0,10.0,5.0,0.0,1.0,0.0,3.0,8.0,4.0,2021-10-20
4,LaMelo Ball,28:57,11.0,23.0,0.478,7.0,9.0,0.778,2.0,2.0,1.0,2.0,7.0,9.0,7.0,2.0,0.0,2.0,3.0,31.0,0.0,2021-10-20
6,Cody Martin,23:38,4.0,5.0,0.8,0.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,1.0,10.0,-6.0,2021-10-20
7,Ish Smith,21:27,7.0,14.0,0.5,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,14.0,-1.0,2021-10-20
8,P.J. Washington,19:27,1.0,7.0,0.143,1.0,3.0,0.333,2.0,2.0,1.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,1.0,5.0,-10.0,2021-10-20
9,Jalen McDaniels,10:54,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-10.0,2021-10-20
10,Nick Richards,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
11,Kai Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
12,Arnoldas Kulboka,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
13,JT Thor,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
14,James Bouknight,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
15,Vernon Carey,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
0,Malcolm Brogdon,40:18,8.0,20.0,0.4,3.0,10.0,0.3,9.0,9.0,1.0,0.0,4.0,4.0,11.0,0.0,1.0,1.0,2.0,28.0,0.0,2021-10-20
1,Domantas Sabonis,39:19,13.0,19.0,0.684,4.0,6.0,0.667,3.0,4.0,0.75,3.0,12.0,15.0,2.0,0.0,0.0,6.0,4.0,33.0,-1.0,2021-10-20
2,Chris Duarte,32:42,9.0,15.0,0.6,6.0,9.0,0.667,3.0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,4.0,27.0,7.0,2021-10-20
3,Myles Turner,25:49,3.0,6.0,0.5,1.0,3.0,0.333,2.0,4.0,0.5,1.0,6.0,7.0,1.0,0.0,4.0,4.0,4.0,9.0,-8.0,2021-10-20
4,Justin Holiday,25:43,4.0,10.0,0.4,1.0,7.0,0.143,2.0,2.0,1.0,1.0,6.0,7.0,4.0,0.0,0.0,0.0,3.0,11.0,3.0,2021-10-20
6,Torrey Craig,27:48,1.0,4.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,3.0,5.0,8.0,3.0,0.0,1.0,1.0,4.0,5.0,-3.0,2021-10-20
7,Jeremy Lamb,24:14,1.0,9.0,0.111,1.0,6.0,0.167,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,2021-10-20
8,T.J. McConnell,24:07,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,7.0,1.0,2.0,1.0,1.0,6.0,-8.0,2021-10-20
9,Isaiah Jackson,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
10,Goga Bitadze,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
11,Oshae Brissett,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
12,Brad Wanamaker,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
13,Duane Washington,Did Not Play,,,,,,,,,,,,,,,,,,,,2021-10-20
