,Date,Start (ET),Visitor/Neutral,Home/Neutral,Week
93,2021-11-01 00:00:00-04:00,7:00p,CLE,CHA,44
94,2021-11-01 00:00:00-04:00,7:00p,SAS,IND,44
95,2021-11-01 00:00:00-04:00,7:00p,POR,PHL,44
96,2021-11-01 00:00:00-04:00,7:30p,WAS,ATL,44
97,2021-11-01 00:00:00-04:00,7:30p,CHI,BOS,44
98,2021-11-01 00:00:00-04:00,7:30p,TOR,NYK,44
99,2021-11-01 00:00:00-04:00,8:00p,DEN,MEM,44
100,2021-11-01 00:00:00-04:00,8:00p,ORL,MIN,44
101,2021-11-01 00:00:00-04:00,10:30p,OKC,LAC,44
102,2021-11-02 00:00:00-04:00,7:00p,MIL,DET,44
103,2021-11-02 00:00:00-04:00,7:30p,MIA,DAL,44
104,2021-11-02 00:00:00-04:00,9:00p,SAC,UTA,44
105,2021-11-02 00:00:00-04:00,10:00p,NOP,PHO,44
106,2021-11-02 00:00:00-04:00,10:30p,HOU,LAL,44
107,2021-11-03 00:00:00-04:00,7:00p,POR,CLE,44
108,2021-11-03 00:00:00-04:00,7:00p,NYK,IND,44
109,2021-11-03 00:00:00-04:00,7:00p,BOS,ORL,44
110,2021-11-03 00:00:00-04:00,7:00p,CHI,PHL,44
111,2021-11-03 00:00:00-04:00,7:00p,TOR,WAS,44
112,2021-11-03 00:00:00-04:00,7:30p,ATL,BKN,44
113,2021-11-03 00:00:00-04:00,8:00p,DEN,MEM,44
114,2021-11-03 00:00:00-04:00,8:00p,LAC,MIN,44
115,2021-11-03 00:00:00-04:00,8:30p,DAL,SAS,44
116,2021-11-03 00:00:00-04:00,10:00p,CHA,GSW,44
117,2021-11-03 00:00:00-04:00,10:00p,NOP,SAC,44
118,2021-11-04 00:00:00-04:00,7:00p,PHL,DET,44
119,2021-11-04 00:00:00-04:00,7:30p,UTA,ATL,44
120,2021-11-04 00:00:00-04:00,7:30p,BOS,MIA,44
121,2021-11-04 00:00:00-04:00,10:00p,HOU,PHO,44
122,2021-11-04 00:00:00-04:00,10:30p,OKC,LAL,44
123,2021-11-05 00:00:00-04:00,7:00p,BKN,DET,44
124,2021-11-05 00:00:00-04:00,7:00p,SAS,ORL,44
125,2021-11-05 00:00:00-04:00,7:00p,MEM,WAS,44
126,2021-11-05 00:00:00-04:00,7:30p,NYK,MIL,44
127,2021-11-05 00:00:00-04:00,7:30p,CLE,TOR,44
128,2021-11-05 00:00:00-04:00,8:00p,LAC,MIN,44
129,2021-11-05 00:00:00-04:00,10:00p,NOP,GSW,44
130,2021-11-05 00:00:00-04:00,10:00p,IND,POR,44
131,2021-11-05 00:00:00-04:00,10:00p,CHA,SAC,44
132,2021-11-06 00:00:00-04:00,5:00p,HOU,DEN,44
133,2021-11-06 00:00:00-04:00,7:30p,UTA,MIA,44
134,2021-11-06 00:00:00-04:00,8:00p,PHL,CHI,44
135,2021-11-06 00:00:00-04:00,8:30p,BOS,DAL,44
136,2021-11-06 00:00:00-04:00,10:00p,ATL,PHO,44
137,2021-11-06 00:00:00-04:00,10:30p,LAL,POR,44
138,2021-11-07 00:00:00-04:00,3:30p,BKN,TOR,44
139,2021-11-07 00:00:00-04:00,6:00p,CLE,NYK,44
140,2021-11-07 00:00:00-04:00,6:00p,UTA,ORL,44
141,2021-11-07 00:00:00-04:00,6:00p,IND,SAC,44
142,2021-11-07 00:00:00-04:00,6:00p,MIL,WAS,44
143,2021-11-07 00:00:00-04:00,7:00p,SAS,OKC,44
144,2021-11-07 00:00:00-04:00,8:30p,HOU,GSW,44
145,2021-11-07 00:00:00-04:00,9:00p,CHA,LAC,44
146,2021-11-08 00:00:00-05:00,7:00p,NYK,PHL,45
147,2021-11-08 00:00:00-05:00,8:00p,BKN,CHI,45
148,2021-11-08 00:00:00-05:00,8:00p,MIN,MEM,45
149,2021-11-08 00:00:00-05:00,8:30p,NOP,DAL,45
150,2021-11-08 00:00:00-05:00,9:00p,MIA,DEN,45
151,2021-11-08 00:00:00-05:00,10:00p,ATL,GSW,45
152,2021-11-08 00:00:00-05:00,10:00p,PHO,SAC,45
153,2021-11-08 00:00:00-05:00,10:30p,CHA,LAL,45
154,2021-11-09 00:00:00-05:00,7:30p,MIL,PHL,45
155,2021-11-09 00:00:00-05:00,9:00p,ATL,UTA,45
156,2021-11-09 00:00:00-05:00,10:00p,POR,LAC,45
157,2021-11-10 00:00:00-05:00,7:00p,WAS,CLE,45
158,2021-11-10 00:00:00-05:00,7:00p,BKN,ORL,45
159,2021-11-10 00:00:00-05:00,7:30p,TOR,BOS,45
160,2021-11-10 00:00:00-05:00,7:30p,DET,HOU,45
